"uri","name","author_name","author_movement","genre"
"http://dbpedia.org/resource/The_Shuttered_Room_and_Other_Pieces","The Shuttered Room and Other Pieces","H. P. Lovecraft","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/The_Watchers_Out_of_Time_and_Others","The Watchers Out of Time and Others","August Derleth","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/The_Watchers_Out_of_Time_and_Others","The Watchers Out of Time and Others","H. P. Lovecraft","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/Travellers_by_Night","Travellers by Night","August Derleth","Cosmicism","Horror fiction",""
"http://dbpedia.org/resource/The_Yage_Letters","The Yage Letters","Allen Ginsberg","Beat Generation","Letter (message)",""
"http://dbpedia.org/resource/Selected_Letters_of_H._P._Lovecraft_I_(1911–1924)","Selected Letters of H. P. Lovecraft I (1911–1924)","H. P. Lovecraft","Cosmicism","Letter (message)",""
"http://dbpedia.org/resource/Dreams_and_Fancies","Dreams and Fancies","H. P. Lovecraft","Cosmicism","Letter (message)",""
"http://dbpedia.org/resource/Miscellaneous_Writings_(Lovecraft)","Miscellaneous Writings (Lovecraft)","H. P. Lovecraft","Cosmicism","Letter (message)",""
"http://dbpedia.org/resource/Harlan_Ellison's_Watching","Harlan Ellison's Watching","Harlan Ellison","New Wave science fiction","Non-fiction",""
"http://dbpedia.org/resource/Selected_Letters_of_H._P._Lovecraft_III_(1929–1931)","Selected Letters of H. P. Lovecraft III (1929–1931)","H. P. Lovecraft","Cosmicism","Non-fiction",""
"http://dbpedia.org/resource/Something_About_Cats_and_Other_Pieces","Something About Cats and Other Pieces","H. P. Lovecraft","Cosmicism","Poetry",""
"http://dbpedia.org/resource/Fire_and_Sleet_and_Candlelight","Fire and Sleet and Candlelight","August Derleth","Cosmicism","Poetry",""
"http://dbpedia.org/resource/Marginalia_(collection)","Marginalia (collection)","H. P. Lovecraft","Cosmicism","Poetry",""
"http://dbpedia.org/resource/Demons_(Dostoyevsky_novel)","Demons (Dostoyevsky novel)","Fyodor Dostoyevsky","Literary realism","Political fiction",""
"http://dbpedia.org/resource/The_Confidence-Man","The Confidence-Man","Herman Melville","Romanticism","Satire",""
"http://dbpedia.org/resource/The_Village_of_Stepanchikovo","The Village of Stepanchikovo","Fyodor Dostoyevsky","Literary realism","Satire",""
"http://dbpedia.org/resource/Heavy_Weather_(Sterling_novel)","Heavy Weather (Sterling novel)","Bruce Sterling","Cyberpunk","Science fiction",""
"http://dbpedia.org/resource/Islands_in_the_Net","Islands in the Net","Bruce Sterling","Cyberpunk","Science fiction",""
